station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FABL,2026-06-24 00:00,37.40,37.40,100.00,0.00,0.00,0.00,30.24,M,0.37,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,37.40,FABL 240000Z AUTO 00000KT 0600 R02/1100U // ///////// 03/03 Q1024,M
FABL,2026-06-24 01:00,37.40,37.40,100.00,190.00,3.00,0.00,30.24,M,0.31,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,34.86,FABL 240100Z AUTO 19003KT 0500 R02/0600U // ///////// 03/03 Q1024,M
FABL,2026-06-24 02:00,37.40,35.60,93.13,M,1.00,0.00,30.24,M,0.31,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,37.40,FABL 240200Z AUTO VRB01KT 0500 R02/0600N // ///////// 03/02 Q1024,M
FABL,2026-06-24 03:00,37.40,35.60,93.13,250.00,2.00,0.00,30.27,M,0.40,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,37.40,FABL 240300Z AUTO 25002KT 0650 R02/0700N // ///////// 03/02 Q1025,M
FABL,2026-06-24 04:00,37.40,37.40,100.00,250.00,3.00,0.00,30.27,M,0.31,M,NSC,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,34.86,FABL 240400Z 25003KT 0500 R02/0650U FG NSC 03/03 Q1025 TEMPO 0300,M
FABL,2026-06-24 05:00,37.40,37.40,100.00,M,1.00,0.00,30.30,M,0.28,M,NSC,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,37.40,FABL 240500Z VRB01KT 0450 R02/0500D FG NSC 03/03 Q1026 TEMPO 0300,M
FABL,2026-06-24 07:00,44.60,42.80,93.35,0.00,0.00,0.00,30.33,M,0.19,M,OVC,M,M,M,500.00,M,M,M,FG,M,M,M,M,M,M,44.60,FABL 240700Z 00000KT 0300 R02/0350N FG OVC005 07/06 Q1027 BECMG 1000,M
FABL,2026-06-24 08:00,50.00,48.20,93.50,60.00,3.00,0.00,30.36,M,4.35,M,SCT,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,50.00,FABL 240800Z 06003KT 360V090 7000 SCT008 10/09 Q1028 NOSIG,M
FABL,2026-06-24 09:00,59.00,51.80,76.99,30.00,6.00,0.00,30.36,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,59.00,FABL 240900Z 03006KT 350V070 9999 FEW010 15/11 Q1028 NOSIG,M
FABL,2026-06-24 10:00,62.60,51.80,67.76,70.00,6.00,0.00,30.33,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,62.60,FABL 241000Z 07006KT 020V090 9999 FEW010 17/11 Q1027 NOSIG,M
FABL,2026-06-24 11:00,66.20,50.00,55.91,360.00,7.00,0.00,30.30,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,66.20,FABL 241100Z 36007KT 300V050 9999 FEW015 19/10 Q1026 NOSIG,M
FABL,2026-06-24 12:00,68.00,44.60,42.87,320.00,4.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,68.00,FABL 241200Z 32004KT 240V050 9999 FEW020 20/07 Q1026 NOSIG,M
FABL,2026-06-24 13:00,69.80,39.20,32.73,310.00,5.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,FABL 241300Z 31005KT 260V360 9999 FEW020 21/04 Q1026 NOSIG,M
FABL,2026-06-24 14:00,69.80,41.00,35.11,320.00,4.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,FABL 241400Z 32004KT 260V020 CAVOK 21/05 Q1025 NOSIG,M
FABL,2026-06-24 15:00,66.20,42.80,42.59,30.00,4.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,FABL 241500Z 03004KT CAVOK 19/06 Q1026 NOSIG,M
FABL,2026-06-24 16:00,59.00,42.80,54.86,M,2.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FABL 241600Z VRB02KT CAVOK 15/06 Q1026 NOSIG,M
FABL,2026-06-24 17:00,51.80,42.80,71.26,0.00,0.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FABL 241700Z 00000KT CAVOK 11/06 Q1027 NOSIG,M
FABL,2026-06-24 18:00,48.20,41.00,76.01,0.00,0.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,FABL 241800Z 00000KT CAVOK 09/05 Q1027 NOSIG,M
FABL,2026-06-24 19:00,46.40,42.80,87.18,M,1.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,46.40,FABL 241900Z AUTO VRB01KT 9999 // ///////// 08/06 Q1028,M
FABL,2026-06-24 20:00,44.60,41.00,87.08,0.00,0.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,44.60,FABL 242000Z AUTO 00000KT 9999 // ///////// 07/05 Q1028,M
FABL,2026-06-24 21:00,42.80,41.00,93.29,50.00,1.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,42.80,FABL 242100Z AUTO 05001KT 9999 // ///////// 06/05 Q1028,M
FABL,2026-06-24 22:00,42.80,39.20,86.99,280.00,1.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,42.80,FABL 242200Z AUTO 28001KT 9999 // ///////// 06/04 Q1028,M
FABL,2026-06-24 23:00,41.00,39.20,93.24,220.00,2.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,41.00,FABL 242300Z AUTO 22002KT 9999 // ///////// 05/04 Q1028,M
