station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FAGG,2026-06-24 00:00,57.20,53.60,87.75,260.00,9.00,0.00,30.15,M,6.21,M,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,57.20,FAGG 240000Z AUTO 26009KT 9999 OVC014/// 14/12 Q1021,M
FAGG,2026-06-24 00:15,55.40,53.60,93.65,270.00,7.00,0.00,30.18,M,6.21,M,BKN,OVC,M,M,1000.00,1300.00,M,M,-RA,M,M,M,M,M,M,55.40,FAGG 240015Z AUTO 27007KT 9999 -RA BKN010/// OVC013/// 13/12 Q1022,M
FAGG,2026-06-24 00:31,55.40,53.60,93.65,280.00,7.00,0.00,30.18,M,6.21,M,BKN,BKN,BKN,M,900.00,1100.00,1300.00,M,M,M,M,M,M,M,M,55.40,FAGG 240031Z AUTO 28007KT 9999 BKN009/// BKN011/// BKN013/// 13/12 Q1022,M
FAGG,2026-06-24 00:44,55.40,53.60,93.65,290.00,7.00,0.00,30.18,M,6.21,M,BKN,BKN,M,M,800.00,1200.00,M,M,-RA,M,M,M,M,M,M,55.40,FAGG 240044Z AUTO 29007KT 9999 -RA BKN008/// BKN012/// 13/12 Q1022,M
FAGG,2026-06-24 00:51,55.40,55.40,100.00,280.00,6.00,0.00,30.18,M,3.73,M,FEW,BKN,OVC,M,600.00,800.00,1400.00,M,-RA,M,M,M,M,M,M,55.40,FAGG 240051Z AUTO 28006KT 6000 -RA FEW006/// BKN008/// OVC014/// 13/13 Q1022,M
FAGG,2026-06-24 00:54,55.40,53.60,93.65,280.00,6.00,0.00,30.18,M,3.73,M,FEW,OVC,M,M,600.00,800.00,M,M,-RA,M,M,M,M,M,M,55.40,FAGG 240054Z AUTO 28006KT 6000 -RA FEW006/// OVC008/// 13/12 Q1022,M
FAGG,2026-06-24 01:00,55.40,53.60,93.65,280.00,6.00,0.00,30.18,M,3.73,M,FEW,OVC,M,M,600.00,800.00,M,M,-RA,M,M,M,M,M,M,55.40,FAGG 240100Z AUTO 28006KT 6000 -RA FEW006/// OVC008/// 13/12 Q1022,M
FAGG,2026-06-24 01:05,55.40,55.40,100.00,280.00,5.00,0.00,30.18,M,3.73,M,SCT,BKN,OVC,M,500.00,800.00,1400.00,M,-RA,M,M,M,M,M,M,55.40,FAGG 240105Z AUTO 28005KT 6000 -RA SCT005/// BKN008/// OVC014/// 13/13 Q1022,M
FAGG,2026-06-24 01:22,55.40,55.40,100.00,300.00,4.00,0.00,30.18,M,6.21,M,SCT,BKN,BKN,M,400.00,1200.00,2100.00,M,-RA,M,M,M,M,M,M,55.40,FAGG 240122Z AUTO 30004KT 9999 -RA SCT004/// BKN012/// BKN021/// 13/13 Q1022,M
FAGG,2026-06-24 01:31,55.40,55.40,100.00,290.00,4.00,0.00,30.18,M,6.21,M,SCT,BKN,BKN,M,400.00,1200.00,2900.00,M,-RA,M,M,M,M,M,M,55.40,FAGG 240131Z AUTO 29004KT 9999 -RA SCT004/// BKN012/// BKN029/// 13/13 Q1022,M
FAGG,2026-06-24 01:32,55.40,55.40,100.00,290.00,4.00,0.00,30.18,M,6.21,M,BKN,BKN,BKN,M,300.00,1200.00,2900.00,M,-RA,M,M,M,M,M,M,55.40,FAGG 240132Z AUTO 29004KT 9999 -RA BKN003/// BKN012/// BKN029/// 13/13 Q1022,M
FAGG,2026-06-24 01:43,55.40,55.40,100.00,290.00,4.00,0.00,30.18,M,6.21,M,SCT,BKN,BKN,M,300.00,2000.00,2900.00,M,M,M,M,M,M,M,M,55.40,FAGG 240143Z AUTO 29004KT 9999 SCT003/// BKN020/// BKN029/// 13/13 Q1022,M
FAGG,2026-06-24 01:47,55.40,55.40,100.00,280.00,3.00,0.00,30.18,M,6.21,M,SCT,BKN,BKN,M,400.00,1100.00,2100.00,M,M,M,M,M,M,M,M,55.40,FAGG 240147Z AUTO 28003KT 9999 SCT004/// BKN011/// BKN021/// 13/13 Q1022,M
FAGG,2026-06-24 01:51,55.40,55.40,100.00,280.00,3.00,0.00,30.18,M,6.21,M,SCT,BKN,BKN,M,400.00,900.00,2600.00,M,M,M,M,M,M,M,M,55.40,FAGG 240151Z AUTO 28003KT 9999 SCT004/// BKN009/// BKN026/// 13/13 Q1022,M
FAGG,2026-06-24 01:54,55.40,55.40,100.00,280.00,3.00,0.00,30.18,M,4.35,M,SCT,BKN,BKN,M,400.00,800.00,1100.00,M,-RA,M,M,M,M,M,M,55.40,FAGG 240154Z AUTO 28003KT 7000 3300 -RA SCT004/// BKN008/// BKN011/// 13/13 Q1022,M
