station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FALE,2026-06-24 00:00,53.60,50.00,87.56,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FALE 240000Z VRB01KT CAVOK 12/10 Q1017 NOSIG,M
FALE,2026-06-24 01:00,51.80,50.00,93.55,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FALE 240100Z VRB01KT CAVOK 11/10 Q1017 NOSIG,M
FALE,2026-06-24 02:00,51.80,50.00,93.55,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FALE 240200Z VRB01KT CAVOK 11/10 Q1017 NOSIG,M
FALE,2026-06-24 03:00,50.00,48.20,93.50,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,FALE 240300Z VRB01KT CAVOK 10/09 Q1017 NOSIG,M
FALE,2026-06-24 03:08,53.60,51.80,93.60,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FALE 240308Z VRB01KT CAVOK 12/11 Q1017 NOSIG,M
FALE,2026-06-24 03:37,55.40,51.80,87.65,210.00,5.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,FALE 240337Z 21005KT CAVOK 13/11 Q1018 NOSIG,M
FALE,2026-06-24 04:00,55.40,50.00,82.00,210.00,5.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,FALE 240400Z 21005KT CAVOK 13/10 Q1019 NOSIG,M
FALE,2026-06-24 04:23,59.00,50.00,72.02,210.00,6.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FALE 240423Z 21006KT CAVOK 15/10 Q1019 NOSIG,M
FALE,2026-06-24 05:00,57.20,50.00,76.83,220.00,5.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,FALE 240500Z 22005KT CAVOK 14/10 Q1019 NOSIG,M
FALE,2026-06-24 06:00,59.00,51.80,76.99,240.00,5.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FALE 240600Z 24005KT CAVOK 15/11 Q1021 NOSIG,M
FALE,2026-06-24 06:12,62.60,53.60,72.40,230.00,5.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,FALE 240612Z 23005KT CAVOK 17/12 Q1021 NOSIG,M
FALE,2026-06-24 06:43,66.20,53.60,63.85,220.00,4.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,FALE 240643Z 22004KT CAVOK 19/12 Q1022 NOSIG,M
FALE,2026-06-24 07:00,66.20,53.60,63.85,230.00,4.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,FALE 240700Z 23004KT CAVOK 19/12 Q1022 NOSIG,M
FALE,2026-06-24 07:09,69.80,51.80,52.81,230.00,5.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,FALE 240709Z 23005KT CAVOK 21/11 Q1022 NOSIG,M
FALE,2026-06-24 08:00,73.40,50.00,43.73,220.00,8.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,FALE 240800Z 22008KT CAVOK 23/10 Q1023 NOSIG,M
FALE,2026-06-24 09:00,75.20,59.00,57.17,210.00,12.00,0.00,30.21,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,75.20,FALE 240900Z 21012KT 9999 FEW025 24/15 Q1023 NOSIG,M
FALE,2026-06-24 10:00,77.00,62.60,61.19,200.00,10.00,0.00,30.21,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,77.00,FALE 241000Z 20010KT 9999 FEW025 25/17 Q1023 NOSIG,M
FALE,2026-06-24 10:41,78.80,64.40,61.42,200.00,10.00,0.00,30.18,M,6.21,M,BKN,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,78.80,FALE 241041Z 20010KT 170V230 9999 BKN025 26/18 Q1022 NOSIG,M
FALE,2026-06-24 11:00,75.20,64.40,69.19,200.00,10.00,0.00,30.18,M,6.21,M,BKN,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,75.20,FALE 241100Z 20010KT 160V230 9999 BKN025 24/18 Q1022 NOSIG,M
FALE,2026-06-24 12:00,75.20,64.40,69.19,190.00,11.00,0.00,30.18,M,6.21,M,SCT,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,75.20,FALE 241200Z 19011KT 160V220 9999 SCT035 24/18 Q1022 NOSIG,M
FALE,2026-06-24 13:00,75.20,62.60,64.96,200.00,10.00,0.00,30.21,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,75.20,FALE 241300Z 20010KT 170V230 9999 FEW030 24/17 Q1023 NOSIG,M
FALE,2026-06-24 14:00,73.40,64.40,73.48,190.00,8.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,FALE 241400Z 19008KT 160V220 CAVOK 23/18 Q1023 NOSIG,M
FALE,2026-06-24 15:00,69.80,64.40,83.00,200.00,7.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,FALE 241500Z 20007KT CAVOK 21/18 Q1024 NOSIG,M
FALE,2026-06-24 16:00,68.00,64.40,88.28,200.00,5.00,0.00,30.24,M,6.21,M,SCT,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,68.00,FALE 241600Z 20005KT 9999 SCT018 20/18 Q1024 NOSIG,M
FALE,2026-06-24 17:00,66.20,62.60,88.19,210.00,3.00,0.00,30.27,M,6.21,M,BKN,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,66.20,FALE 241700Z 21003KT 9999 BKN018 19/17 Q1025 NOSIG,M
FALE,2026-06-24 18:00,64.40,62.60,93.89,230.00,2.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,FALE 241800Z 23002KT CAVOK 18/17 Q1026 NOSIG,M
FALE,2026-06-24 19:00,62.60,60.80,93.84,220.00,2.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,2000.00,2800.00,M,M,M,M,M,M,M,M,M,62.60,FALE 241900Z 22002KT 9999 FEW020 BKN028 17/16 Q1026 NOSIG,M
FALE,2026-06-24 20:00,62.60,60.80,93.84,M,2.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,2000.00,3000.00,M,M,M,M,M,M,M,M,M,62.60,FALE 242000Z VRB02KT 9999 FEW020 SCT030 17/16 Q1026 NOSIG,M
FALE,2026-06-24 21:00,64.40,59.00,82.63,M,2.00,0.00,30.33,M,6.21,M,BKN,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,64.40,FALE 242100Z VRB02KT 9999 BKN020 18/15 Q1027 NOSIG,M
FALE,2026-06-24 22:00,62.60,59.00,88.01,240.00,3.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,62.60,FALE 242200Z 24003KT 9999 FEW022 17/15 Q1026 NOSIG,M
FALE,2026-06-24 23:00,62.60,59.00,88.01,230.00,4.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,FALE 242300Z 23004KT 210V280 CAVOK 17/15 Q1026 NOSIG,M
