station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FAOR,2026-06-24 00:00,51.80,46.40,81.74,310.00,7.00,0.00,30.33,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAOR 240000Z 31007KT 260V320 9000 NSC 11/08 Q1027 NOSIG,M
FAOR,2026-06-24 00:30,53.60,48.20,81.87,300.00,8.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240030Z 30008KT CAVOK 12/09 Q1027 NOSIG,M
FAOR,2026-06-24 01:00,53.60,46.40,76.51,300.00,8.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240100Z 30008KT CAVOK 12/08 Q1027 NOSIG,M
FAOR,2026-06-24 01:30,51.80,46.40,81.74,300.00,8.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAOR 240130Z 30008KT CAVOK 11/08 Q1027 NOSIG,M
FAOR,2026-06-24 02:00,51.80,46.40,81.74,300.00,8.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAOR 240200Z 30008KT CAVOK 11/08 Q1027 NOSIG,M
FAOR,2026-06-24 02:30,53.60,46.40,76.51,300.00,9.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240230Z 30009KT CAVOK 12/08 Q1027 NOSIG,M
FAOR,2026-06-24 03:00,51.80,46.40,81.74,290.00,8.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAOR 240300Z 29008KT CAVOK 11/08 Q1027 NOSIG,M
FAOR,2026-06-24 03:30,53.60,46.40,76.51,290.00,9.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240330Z 29009KT CAVOK 12/08 Q1027 NOSIG,M
FAOR,2026-06-24 04:00,53.60,48.20,81.87,280.00,8.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240400Z 28008KT CAVOK 12/09 Q1027 NOSIG,M
FAOR,2026-06-24 04:30,53.60,48.20,81.87,290.00,7.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240430Z 29007KT CAVOK 12/09 Q1028 NOSIG,M
FAOR,2026-06-24 05:00,53.60,48.20,81.87,290.00,7.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240500Z 29007KT CAVOK 12/09 Q1028 NOSIG,M
FAOR,2026-06-24 05:30,53.60,48.20,81.87,280.00,7.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAOR 240530Z 28007KT CAVOK 12/09 Q1028 NOSIG,M
FAOR,2026-06-24 06:00,55.40,48.20,76.67,280.00,7.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,FAOR 240600Z 28007KT CAVOK 13/09 Q1029 NOSIG,M
