station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FAPE,2026-06-24 00:00,57.20,51.80,82.13,280.00,5.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,FAPE 240000Z 28005KT CAVOK 14/11 Q1019 NOSIG,M
FAPE,2026-06-24 01:00,55.40,51.80,87.65,270.00,4.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,FAPE 240100Z 27004KT CAVOK 13/11 Q1020 NOSIG,M
FAPE,2026-06-24 02:00,57.20,51.80,82.13,250.00,10.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,FAPE 240200Z 25010KT CAVOK 14/11 Q1021 NOSIG,M
FAPE,2026-06-24 03:00,59.00,51.80,76.99,260.00,10.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FAPE 240300Z 26010KT CAVOK 15/11 Q1021 NOSIG,M
FAPE,2026-06-24 04:00,59.00,53.60,82.26,260.00,9.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FAPE 240400Z 26009KT CAVOK 15/12 Q1022 NOSIG,M
FAPE,2026-06-24 05:00,59.00,55.40,87.84,260.00,11.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FAPE 240500Z 26011KT CAVOK 15/13 Q1022 NOSIG,M
FAPE,2026-06-24 06:00,59.00,53.60,82.26,250.00,11.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FAPE 240600Z 25011KT CAVOK 15/12 Q1023 TEMPO -RA BKN008,M
FAPE,2026-06-24 07:00,62.60,53.60,72.40,260.00,11.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,FAPE 240700Z 26011KT CAVOK 17/12 Q1024 NOSIG,M
FAPE,2026-06-24 08:00,62.60,53.60,72.40,260.00,10.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,FAPE 240800Z 26010KT CAVOK 17/12 Q1025 NOSIG,M
FAPE,2026-06-24 09:00,64.40,53.60,67.97,240.00,11.00,0.00,30.27,M,6.21,M,BKN,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,64.40,FAPE 240900Z 24011KT 9999 BKN045 18/12 Q1025 NOSIG,M
FAPE,2026-06-24 10:00,64.40,55.40,72.58,240.00,11.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,FAPE 241000Z 24011KT 200V260 CAVOK 18/13 Q1025 NOSIG,M
FAPE,2026-06-24 11:00,64.40,57.20,77.46,200.00,8.00,0.00,30.24,M,6.21,M,SCT,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,64.40,FAPE 241100Z 20008KT 170V240 9999 SCT012 18/14 Q1024 NOSIG,M
FAPE,2026-06-24 11:14,64.40,57.20,77.46,200.00,8.00,0.00,30.24,M,6.21,M,BKN,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,64.40,FAPE 241114Z 20008KT 9999 BKN012 18/14 Q1024 NOSIG,M
FAPE,2026-06-24 12:00,64.40,55.40,72.58,200.00,7.00,0.00,30.24,M,6.21,M,FEW,SCT,M,M,1200.00,2200.00,M,M,M,M,M,M,M,M,M,64.40,FAPE 241200Z 20007KT 9999 FEW012 SCT022 18/13 Q1024 NOSIG,M
FAPE,2026-06-24 13:00,64.40,55.40,72.58,200.00,6.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,64.40,FAPE 241300Z 20006KT 150V240 9999 FEW016 18/13 Q1024 NOSIG,M
FAPE,2026-06-24 15:00,60.80,57.20,87.93,180.00,5.00,0.00,30.27,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,60.80,FAPE 241500Z 18005KT 9999 FEW012 16/14 Q1025 NOSIG,M
FAPE,2026-06-24 16:00,59.00,57.20,93.74,M,2.00,0.00,30.27,M,6.21,M,FEW,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,59.00,FAPE 241600Z VRB02KT 9999 FEW017 15/14 Q1025 NOSIG,M
FAPE,2026-06-24 17:00,59.00,57.20,93.74,150.00,3.00,0.00,30.27,M,6.21,M,SCT,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,59.00,FAPE 241700Z 15003KT 9999 SCT016 15/14 Q1025 NOSIG,M
FAPE,2026-06-24 18:00,57.20,57.20,100.00,M,1.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,57.20,FAPE 241800Z VRB01KT 9999 FEW028 14/14 Q1025 NOSIG,M
FAPE,2026-06-24 19:00,55.40,55.40,100.00,M,2.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,55.40,FAPE 241900Z VRB02KT 9999 FEW024 13/13 Q1026 NOSIG,M
FAPE,2026-06-24 20:00,53.60,53.60,100.00,M,1.00,0.00,30.27,M,5.59,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,53.60,FAPE 242000Z VRB01KT 9000 FEW030 12/12 Q1025 NOSIG,M
FAPE,2026-06-24 21:00,51.80,51.80,100.00,0.00,0.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,51.80,FAPE 242100Z 00000KT 9999 FEW020 11/11 Q1026 NOSIG,M
FAPE,2026-06-24 22:00,53.60,53.60,100.00,M,1.00,0.00,30.27,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,53.60,FAPE 242200Z VRB01KT 9999 FEW040 12/12 Q1025 NOSIG,M
FAPE,2026-06-24 23:00,51.80,51.80,100.00,M,1.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAPE 242300Z VRB01KT CAVOK 11/11 Q1025 NOSIG,M
FAPE,2026-06-25 00:00,51.80,51.80,100.00,280.00,3.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,51.80,FAPE 250000Z 28003KT 240V300 9999 FEW025 11/11 Q1025 NOSIG,M
FAPE,2026-06-25 01:00,55.40,55.40,100.00,70.00,4.00,0.00,30.24,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,55.40,FAPE 250100Z 07004KT 9999 FEW040 13/13 Q1024 NOSIG,M
FAPE,2026-06-25 02:00,53.60,53.60,100.00,M,2.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAPE 250200Z VRB02KT CAVOK 12/12 Q1024 NOSIG,M
FAPE,2026-06-25 02:10,55.40,55.40,100.00,M,2.00,0.00,30.24,M,6.21,M,FEW,FEW,M,M,1500.00,4000.00,M,M,-TSRA,M,M,M,M,M,M,55.40,FAPE 250210Z VRB02KT 9999 -TSRA FEW015 FEW040CB 13/13 Q1024 TEMPO 4000 TSRA,M
FAPE,2026-06-25 02:49,60.80,60.80,100.00,60.00,10.00,0.00,30.21,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,-RA,M,M,M,M,M,M,60.80,FAPE 250249Z 06010KT 9999 -RA FEW010 16/16 Q1023 TEMPO 4000 TSRA,M
FAPE,2026-06-25 03:00,62.60,60.80,93.84,70.00,8.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,62.60,FAPE 250300Z 07008KT 040V100 9999 FEW015 17/16 Q1024 TEMPO 4000 TSRA,M
FAPE,2026-06-25 04:00,60.80,60.80,100.00,90.00,7.00,0.00,30.21,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,60.80,FAPE 250400Z 09007KT 9999 FEW010 16/16 Q1023 NOSIG,M
FAPE,2026-06-25 05:00,62.60,62.60,100.00,80.00,7.00,0.00,30.24,M,6.21,M,SCT,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,62.60,FAPE 250500Z 08007KT 9999 SCT013 17/17 Q1024 NOSIG,M
FAPE,2026-06-25 05:31,62.60,62.60,100.00,90.00,9.00,0.00,30.24,M,6.21,M,BKN,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,62.60,FAPE 250531Z 09009KT 9999 BKN011 17/17 Q1024 NOSIG,M
FAPE,2026-06-25 06:00,62.60,62.60,100.00,90.00,12.00,0.00,30.24,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,62.60,FAPE 250600Z 09012KT 9999 BKN010 17/17 Q1024 NOSIG,M
